Оперативная память;NCP;NCPT8AUDR-25M88;27510;DIMM 2048Mb DDR2 PC2-6400 NCP;23;24;25,5;28;+;+;24;;;;11186;DIMM 2048Mb DDR2 PC2-6400 NCP
Оперативная память;Samsung;M378T5663FB3-CF7;59652;DIMM 2048Mb   DDR2 PC2-6400 800MHz Samsung org;23,5;24;26;28;-;-;36;;;;11186;DIMM 2048Mb DDR2 PC2-6400 Samsung
Оперативная память;Silicon Power;SP002GBLRU800S02;47308;DIMM 2048Mb DDR2 PC2-6400 800MHz Silicon Power;23,7;24;25;28;r;r;36;;;;11186;DIMM 2048Mb DDR2 PC2-6400 Silicon Power
Оперативная память;Kingston;KHX8500D2K2/4G;30469;DIMM (2х2048Mb) DDR2 HyperX PC2-8500 1066MHz CL5 (5-5-5-15) DIMM Kingston;68;68,5;69;73;-;-;60;;;;11186;DIMM 4096Mb DDR2 PC2-8500 Kingston
Оперативная память;Patriot;PSD24G800KH;70059;DIMM 4096Mb (2х2048Mb) DDR2, PC2-6400 800MHz, CL6, 1.9V, Patriot HeatShield, box;48,5;49;51;53;-;-;36;;;;11186;DIMM 4096Mb DDR2 PC2-6400 Patriot
Оперативная память;Patriot;PSD24G8002;79667;DIMM 4096Mb DDR2 PC2-6400 Patriot box;67;67,5;68;72;*;-;36;;;;11186;DIMM 4096Mb DDR2 PC2-6400 Patriot
Оперативная память;Kingston;KVR667D2D4F5/4G;64383;DIMM DDR2-667 4096MB Kingston {KVR667D2D4F5/4G};142;145;140,7;150;-;-;12;;;;11186;DIMM 4096MB DDR2-667 PC5300 Kingston
Оперативная память;;;11298;DDRIII;;;;;+;+;;;;;11016;
Оперативная память;Hynix;HMT112U6AFP8C-H9N0;77854;DIMM 1024Mb DDR3  PC3-10600 Hynix 1333Mhz orig;9,3;10;11;14;-;-;36;;;;11298;DIMM 1024Mb DDR3  PC3-10600 Hynix
Оперативная память;Kingston;KVR1333D3N9/1G;36147;DIMM 1024Mb DDR3  PC3-10600 Kingston, 1333MHz, 256 x 64, Non-ECC, Retail;8,6;8,7;9,7;10,5;-;-;60;;;;11298;DIMM 1024Mb DDR3  PC3-10600 Kingston
Оперативная память;NCP;NCPH7AUDR-13M88;66140;DIMM 1024Mb DDR3  PC3-10600 NCP, 1333MHz;11,5;12;13;14;-;-;24;;;;11298;DIMM 1024Mb DDR3  PC3-10600 NCP
Оперативная память;Transcend;JM1333KLU-1G;33520;DIMM 1024Mb DDR3 PC3-10600 Transcend JetRam 1333Mhz, 128Mx64, non-Reg, no-ECC, CL9;8,3;8,6;9;13;-;-;36;;;;11298;DIMM 1024Mb DDR3  PC3-10600 Transcend
Оперативная память;Hynix;F3-16000CL9T-12GBRM;73951;DIMM 12288Mb DDR3  PC3-16000 G.Skill 2000Mhz;285;286;287;300;-;-;36;;;;11298;DIMM 12288Mb DDR3  PC3-16000 G.Skill
Оперативная память;Silicon Power;SP001GBLTU133V02;66177;DIMM 1024Mb DDR3  PC3-10600 Silicon Power 1333Mhz box;11,7;12,2;13,5;14,5;-;-;36;;;;11298;DIMM 1024Mb DDR3  PC3-10600 Silicon Power
Оперативная память;Silicon Power;SP001GBLTU133S02;74441;DIMM 1024Mb DDR3  PC3-10600 Silicon Power 1333Mhz box;7,9;9;10;12;-;-;36;;;;11298;DIMM 1024Mb DDR3  PC3-10600 Silicon Power
Оперативная память;Patriot;AE32G1339U1;80662;DIMM 2048Mb DDR3  PC3-10600 AMD with heat sink;11,8;12;13;18;-;-;36;;;;11298;DIMM 2048Mb DDR3  PC3-10600 AMD with heat sink
Оперативная память;Patriot;M378B5673GB0-CH9;85324;DIMM 2048Mb DDR3  PC3-10600 SAMSUNG Original;13,5;14;15;18;+;+;36;;;;11298;DIMM 2048Mb DDR3  PC3-10600 SAMSUNG Original
Оперативная память;Exceleram;E30106A;68981;DIMM 2048Mb DDR3  PC3-10600 Exceleram 1333Mhz, CL 9-9-9-24, 1.5V;10,4;11;12;14;-;-;60;;;;11298;DIMM 2048Mb DDR3  PC3-10600 Exceleram
Оперативная память;GoodRam;GR1333D364L9/2G;57329;DIMM 2048Mb DDR3  PC3-10600 GoodRam 1333Mhz;11;12;13,5;14,5;-;-;36;;;;11298;DIMM 2048Mb DDR3  PC3-10600 GoodRam
Оперативная память;Hynix;HMT325U6BFR8C-H9N0;31833;DIMM 2048Mb DDR3  PC3-10600 Hynix 1333Mhz orig;12,3;13;13,5;15,5;-;-;36;;;;11298;DIMM 2048Mb DDR3  PC3-10600 Hynix
Оперативная память;Hynix;HMT325U6CFR8C-H9;75000;DIMM 2048Mb DDR3  PC3-10600 Hynix 1333Mhz orig;12;12;14;16;-;-;36;;;;11298;DIMM 2048Mb DDR3  PC3-10600 Hynix
Оперативная память;Kingston;KVR1333D3N9/2G / KVR1333D3N9/2G-SP;32328;DIMM 2048Mb DDR3  PC3-10600 Kingston, 1333MHz, 256 x 64, Non-ECC, CL9, Retail;13;13,5;14,5;15,5;-;-;60;;;;11298;DIMM 2048Mb DDR3  PC3-10600 Kingston
Оперативная память;Kingston;KVR1333D3N9/2G-BK / KVR1333D3N9/2G-SPBK;60501;DIMM 2048Mb DDR3  PC3-10600 Kingston, 1333MHz, 256 x 64, Non-ECC, CL9, Bulk;13;13,5;14,5;15,5;-;-;60;;;;11298;DIMM 2048Mb DDR3  PC3-10600 Kingston
Оперативная память;Kingston;KVR1333D3S8N9/2GBK;69703;DIMM 2048Mb DDR3  PC3-10600 Kingston, 1333MHz, 256 x 64, Non-ECC, CL9, 1.5V, Bulk;13,5;14;14,5;16;-;-;60;;;;11298;DIMM 2048Mb DDR3  PC3-10600 Kingston
